BTC-USD;META;NKE
16444.626953;202.160004;125.610001
16464.281250;197.809998;121.199997
16521.841797;195.610001;120.389999
16604.464844;204.929993;120.650002
16610.707031;197.750000;118.169998
16189.769531;194.020004;119.000000
15787.284180;180.899994;116.860001
16291.832031;179.509995;117.489998
16711.546875;181.690002;117.870003
16697.777344;184.970001;119.860001
16687.517578;184.509995;119.589996
16669.439453;184.899994;120.169998
16884.613281;185.250000;120.940002
16618.199219;174.529999;119.580002
16353.365234;173.419998;118.580002
16799.185547;174.940002;118.790001
17034.292969;169.539993;118.529999
17586.771484;170.389999;118.040001
15880.780273;172.039993;119.959999
18541.271484;171.119995;119.900002
20602.816406;172.080002;121.099998
20926.486328;172.880005;124.839996
21282.691406;172.440002;124.379997
21147.230469;177.160004;127.480003
20209.988281;179.479996;126.199997
20159.503906;179.429993;125.150002
20485.273438;174.149994;122.230003
20495.773438;177.919998;122.180000
20635.603516;183.429993;122.910004
20818.476563;191.619995;125.330002
20595.351563;186.059998;125.730003
20285.835938;186.529999;127.610001
20770.441406;188.770004;129.059998
20095.857422;153.119995;129.500000
19345.572266;148.970001;127.330002
19567.007813;147.059998;126.370003
19208.189453;151.740005;127.529999
19172.468750;147.300003;127.529999
19053.740234;141.500000;126.820000
19139.535156;143.139999;126.830002
19334.416016;143.270004;128.289993
19550.757813;139.369995;126.620003
19268.093750;136.149994;124.529999
19067.634766;133.020004;126.430000
19185.656250;135.360001;128.139999
19382.904297;136.979996;128.850006
19157.445313;136.710007;127.889999
19051.417969;132.889999;127.940002
19141.484375;132.990005;125.839996
19446.425781;129.470001;124.849998
19416.568359;130.020004;124.529999
19546.849609;126.940002;120.620003
19955.443359;127.370003;121.209999
20160.716797;124.739998;118.750000
20336.843750;120.339996;117.010002
19623.580078;120.260002;117.349998
19044.107422;115.620003;114.980003
19312.095703;116.879997;117.559998
19431.789063;118.040001;116.250000
19573.050781;117.120003;116.709999
19426.720703;119.760002;115.779999
19110.546875;117.089996;103.209999
19222.671875;114.480003;103.050003
18802.097656;119.430000;105.949997
18937.011719;116.150002;108.510002
19297.638672;121.589996;111.449997
19413.550781;120.150002;112.849998
18547.400391;114.709999;112.070000
18890.789063;115.900002;109.419998
19544.128906;115.330002;111.360001
19419.505859;113.930000;108.330002
20127.576172;114.120003;107.930000
19772.583984;122.430000;109.620003
19701.210938;123.489998;112.199997
20241.089844;120.440002;111.110001
20296.707031;118.099998;109.690002
22370.449219;109.459999;106.250000
21769.255859;108.779999;104.959999
21680.539063;111.410004;105.959999
21381.152344;112.239998;106.650002
19329.833984;111.440002;105.970001
19290.324219;109.860001;103.830002
18837.667969;112.050003;105.419998
19812.371094;111.449997;105.360001
19986.712891;113.230003;105.230003
19832.087891;117.080002;106.709999
19969.771484;114.220001;104.389999
20127.140625;113.019997;106.089996
20049.763672;111.870003;99.489998
19796.808594;101.470001;92.099998
20297.994141;96.470001;93.750000
19616.814453;96.720001;93.440002
20041.738281;90.790001;95.790001
20260.019531;88.910004;90.400002
21600.904297;90.540001;90.300003
21395.019531;95.199997;93.769997
21528.087891;93.160004;92.680000
21398.908203;99.199997;93.830002
21534.121094;97.940002;90.540001
21166.060547;129.820007;92.389999
20877.552734;137.509995;91.720001
23212.738281;129.720001;88.010002
23335.998047;130.009995;88.500000
23883.291016;131.529999;86.830002
24136.972656;133.229996;88.570000
24319.333984;132.800003;89.680000
24424.068359;134.039993;89.970001
24402.818359;126.760002;87.550003
23957.529297;130.289993;89.559998
23947.642578;127.500000;88.510002
23164.318359;128.539993;87.989998
23809.486328;133.789993;86.690002
23175.890625;133.449997;87.160004
22961.279297;139.070007;90.169998
23289.314453;138.979996;91.099998
22630.957031;140.279999;88.639999
22846.507813;138.610001;85.400002
22978.117188;135.679993;83.120003
23314.199219;136.410004;95.330002
23336.896484;141.610001;98.699997
23656.207031;134.399994;96.290001
23804.632813;136.369995;96.059998
23843.886719;140.410004;97.019997
22930.548828;142.820007;98.550003
21239.753906;142.119995;99.790001
21361.701172;146.089996;102.419998
22609.164063;148.020004;107.209999
22465.478516;146.289993;104.120003
22714.978516;149.550003;105.500000
23164.628906;151.470001;107.000000
23231.732422;153.130005;105.720001
23389.433594;168.960007;112.379997
22485.689453;169.149994;110.970001
20779.343750;162.059998;108.730003
21190.316406;160.389999;108.480003
20836.328125;158.539993;105.150002
20569.919922;160.320007;105.739998
20212.074219;165.360001;106.489998
19323.914063;162.929993;106.449997
19970.556641;157.160004;107.860001
20860.449219;159.169998;107.879997
21592.207031;161.779999;108.279999
21731.117188;168.779999;113.220001
21637.587891;163.259995;111.410004
20548.246094;161.110001;110.680000
20190.115234;163.050003;110.339996
20231.261719;167.960007;113.160004
19297.076172;174.660004;116.010002
19242.255859;174.850006;117.040001
19269.367188;179.470001;118.059998
19784.726563;180.889999;116.320000
20104.023438;180.500000;116.070000
20280.634766;177.490005;114.099998
20735.478516;178.339996;113.139999
21027.294922;168.529999;110.110001
21502.337891;170.250000;114.000000
21231.656250;167.110001;113.870003
21085.876953;170.570007;114.480003
19987.029297;168.800003;114.279999
20710.597656;160.190002;111.769997
20599.537109;159.929993;114.300003
20553.271484;159.100006;114.919998
19017.642578;160.720001;112.230003
20471.482422;169.580002;107.860001
20381.650391;159.149994;105.199997
22572.839844;166.649994;109.279999
22206.792969;169.270004;109.120003
22487.388672;183.169998;111.620003
26762.648438;183.089996;111.110001
28360.810547;175.779999;109.190002
29083.804688;167.229996;103.940002
30111.998047;164.699997;104.699997
30214.355469;158.050003;103.220001
31155.478516;163.490005;105.110001
31370.671875;163.270004;103.760002
29906.662109;162.880005;105.110001
29832.914063;170.880005;107.930000
29704.390625;172.190002;108.129997
30467.488281;169.770004;104.230003
29799.080078;168.190002;104.320000
31792.310547;160.029999;101.180000
31726.390625;161.250000;102.199997
29445.957031;163.940002;103.250000
28814.900391;160.679993;102.779999
28627.574219;169.490005;110.500000
29267.224609;170.160004;112.910004
29562.361328;158.750000;108.000000
29655.585938;155.850006;104.919998
29098.910156;157.050003;108.680000
30323.722656;163.740005;107.339996
29432.226563;160.869995;107.120003
29200.740234;169.350006;113.440002
30314.333984;163.729996;110.720001
28720.271484;164.259995;110.440002
30425.857422;175.570007;114.730003
29862.917969;184.000000;118.599998
31305.113281;196.639999;122.400002
30101.265625;195.649994;121.669998
29283.103516;194.250000;120.230003
29047.751953;190.779999;120.949997
28936.355469;198.860001;123.410004
31022.906250;188.639999;118.680000
30296.953125;193.639999;118.849998
34059.265625;195.130005;115.989998
35501.953125;191.630005;112.940002
36040.921875;183.830002;108.199997
36575.140625;181.279999;107.290001
39698.371094;196.229996;108.629997
37750.453125;193.539993;108.000000
38529.328125;191.289993;106.440002
38469.093750;192.240005;109.370003
37714.875000;202.619995;115.900002
38609.824219;200.039993;112.599998
39773.828125;198.619995;113.010002
39241.121094;191.240005;107.900002
38117.460938;188.740005;107.919998
40458.308594;197.649994;109.489998
39469.292969;196.210007;111.209999
39486.730469;203.770004;114.489998
39740.320313;208.279999;118.629997
40527.363281;223.410004;126.059998
41374.378906;212.029999;122.860001
41502.750000;211.130005;126.080002
40826.214844;200.470001;124.699997
39716.953125;205.729996;127.050003
40424.484375;174.949997;121.239998
40553.464844;180.949997;120.519997
39935.515625;186.990005;127.940002
41166.730469;184.110001;129.070007
40127.183594;188.070007;135.460007
39521.902344;200.419998;135.869995
42207.671875;217.309998;137.050003
42782.136719;210.770004;131.630005
42287.664063;210.179993;133.460007
43503.847656;214.990005;127.489998
43206.738281;214.139999;125.040001
45555.992188;216.460007;124.980003
46622.675781;222.330002;128.149994
46453.566406;222.949997;129.380005
45868.949219;223.300003;128.360001
46281.644531;231.839996;132.300003
45538.675781;233.889999;134.339996
47062.664063;224.850006;133.520004
47465.730469;222.360001;134.559998
47128.003906;227.850006;138.539993
46820.492188;229.860001;139.139999
44500.828125;223.589996;134.809998
44348.730469;221.820007;133.699997
43960.933594;219.570007;132.080002
42892.957031;213.460007;133.000000
42358.808594;216.649994;133.089996
